Time;In - ether1;In - sfp-sfpplus4 - modem;In - l2tp-out1;In - sfp1 - lantai 1;In - sfp2 - lantai 2;In - sfp3 - lantai 3;In - sfp4 - lantai 4;In - sfp5 - lantai 5;In - sfp-sfpplus1 - lantai 6;In - sfp-sfpplus2 - lantai 7;In - sfp-sfpplus3;Out - ether1;Out - sfp-sfpplus4 - modem;Out - l2tp-out1;Out - sfp1 - lantai 1;Out - sfp2 - lantai 2;Out - sfp3 - lantai 3;Out - sfp4 - lantai 4;Out - sfp5 - lantai 5;Out - sfp-sfpplus1 - lantai 6;Out - sfp-sfpplus2 - lantai 7;Out - sfp-sfpplus3
24/04/2024 19:30;0 b/s;12.6 Mb/s;0 b/s;125 kb/s;138 kb/s;1.23 Mb/s;205 kb/s;350 kb/s;306 kb/s;9.88 kb/s;0 b/s;0 b/s;-1.9 Mb/s;0 b/s;-2.9 Mb/s;-199 kb/s;-43 kb/s;-34 kb/s;-3.8 Mb/s;-4.3 Mb/s;-293 b/s;0 b/s
24/04/2024 19:35;0 b/s;17.7 Mb/s;0 b/s;91.6 kb/s;165 kb/s;109 kb/s;223 kb/s;518 kb/s;494 kb/s;10.2 kb/s;0 b/s;0 b/s;-1.1 Mb/s;0 b/s;-2.6 Mb/s;-207 kb/s;-62 kb/s;-39 kb/s;-2.8 Mb/s;-8.9 Mb/s;-285 b/s;0 b/s
24/04/2024 19:40;0 b/s;16.7 Mb/s;0 b/s;153 kb/s;211 kb/s;40.5 kb/s;239 kb/s;270 kb/s;373 kb/s;12.8 kb/s;0 b/s;0 b/s;-794 kb/s;0 b/s;-3.9 Mb/s;-458 kb/s;-9.5 kb/s;-42 kb/s;-5.1 Mb/s;-6.5 Mb/s;-2.4 kb/s;0 b/s
24/04/2024 19:45;0 b/s;6.10 Mb/s;0 b/s;9.85 kb/s;363 kb/s;41.2 kb/s;9.09 kb/s;3.28 Mb/s;94.9 kb/s;10.3 kb/s;0 b/s;0 b/s;-3.5 Mb/s;0 b/s;-53 kb/s;-1.8 Mb/s;-6.7 kb/s;-1.1 kb/s;-3.8 Mb/s;-56 kb/s;-454 b/s;0 b/s
24/04/2024 19:50;0 b/s;4.52 Mb/s;0 b/s;28.0 kb/s;110 kb/s;42.0 kb/s;10.3 kb/s;2.26 Mb/s;133 kb/s;23.9 kb/s;0 b/s;0 b/s;-2.4 Mb/s;0 b/s;-80 kb/s;-51 kb/s;-15 kb/s;-2.2 kb/s;-913 kb/s;-3.5 Mb/s;-16 kb/s;0 b/s
24/04/2024 19:55;0 b/s;24.5 Mb/s;0 b/s;8.17 kb/s;658 kb/s;181 kb/s;230 kb/s;495 kb/s;209 kb/s;108 kb/s;0 b/s;0 b/s;-1.2 Mb/s;0 b/s;-45 kb/s;-11 Mb/s;-84 kb/s;-48 kb/s;-7.6 Mb/s;-4.3 Mb/s;-40 kb/s;0 b/s
24/04/2024 20:00;0 b/s;17.0 Mb/s;0 b/s;6.28 kb/s;1.04 Mb/s;59.9 kb/s;133 kb/s;228 kb/s;131 kb/s;40.8 kb/s;0 b/s;0 b/s;-1.1 Mb/s;0 b/s;-37 kb/s;-12 Mb/s;-86 kb/s;-23 kb/s;-893 kb/s;-2.0 Mb/s;-8.8 kb/s;0 b/s
24/04/2024 20:05;0 b/s;12.1 Mb/s;0 b/s;8.04 kb/s;787 kb/s;44.9 kb/s;223 kb/s;267 kb/s;229 kb/s;68.5 kb/s;0 b/s;0 b/s;-1.0 Mb/s;0 b/s;-43 kb/s;-6.7 Mb/s;-9.6 kb/s;-41 kb/s;-1.2 Mb/s;-1.9 Mb/s;-22 kb/s;0 b/s
24/04/2024 20:10;0 b/s;21.2 Mb/s;0 b/s;11.0 kb/s;789 kb/s;45.0 kb/s;229 kb/s;351 kb/s;1.03 Mb/s;195 kb/s;0 b/s;0 b/s;-1.8 Mb/s;0 b/s;-38 kb/s;-4.7 Mb/s;-11 kb/s;-37 kb/s;-2.3 Mb/s;-10 Mb/s;-47 kb/s;0 b/s
24/04/2024 20:15;0 b/s;15.4 Mb/s;0 b/s;23.4 kb/s;772 kb/s;148 kb/s;263 kb/s;363 kb/s;431 kb/s;45.1 kb/s;0 b/s;0 b/s;-1.5 Mb/s;0 b/s;-67 kb/s;-3.0 Mb/s;-2.3 Mb/s;-77 kb/s;-2.7 Mb/s;-4.7 Mb/s;-13 kb/s;0 b/s
24/04/2024 20:20;0 b/s;9.72 Mb/s;0 b/s;6.88 kb/s;763 kb/s;94.9 kb/s;293 kb/s;166 kb/s;411 kb/s;46.9 kb/s;0 b/s;0 b/s;-1.1 Mb/s;0 b/s;-40 kb/s;-2.8 Mb/s;-373 kb/s;-83 kb/s;-1.8 Mb/s;-3.4 Mb/s;-14 kb/s;0 b/s
